time,distF,distLeft,distRight,direction,status,obstacle_count
29.906,75.4,-1.0,-1.0,-1,DRIVING,0
30.215,71.98,-1.0,-1.0,-1,DRIVING,0
30.522,66.73,-1.0,-1.0,-1,DRIVING,0
30.829,59.59,-1.0,-1.0,-1,DRIVING,0
31.135,52.92,-1.0,-1.0,-1,DRIVING,0
31.441,45.82,-1.0,-1.0,-1,DRIVING,0
31.748,39.22,-1.0,-1.0,-1,DRIVING,0
32.053,21.35,-1.0,-1.0,-1,DRIVING,0
32.357,11.99,13.33,27.47,RIGHT,OBSTACLE,1
34.969,69.21,-1.0,-1.0,-1,DRIVING,1
35.276,66.05,-1.0,-1.0,-1,DRIVING,1
35.584,58.99,-1.0,-1.0,-1,DRIVING,1
35.89,51.17,-1.0,-1.0,-1,DRIVING,1
36.196,43.79,-1.0,-1.0,-1,DRIVING,1
36.501,36.31,-1.0,-1.0,-1,DRIVING,1
36.806,30.62,-1.0,-1.0,-1,DRIVING,1
37.111,22.61,-1.0,-1.0,-1,DRIVING,1
37.415,14.4,26.06,46.53,RIGHT,OBSTACLE,2
40.03,71.11,-1.0,-1.0,-1,DRIVING,2
40.337,67.41,-1.0,-1.0,-1,DRIVING,2
40.644,61.15,-1.0,-1.0,-1,DRIVING,2
40.95,54.67,-1.0,-1.0,-1,DRIVING,2
41.257,48.65,-1.0,-1.0,-1,DRIVING,2
41.563,40.82,-1.0,-1.0,-1,DRIVING,2
41.869,47.79,-1.0,-1.0,-1,DRIVING,2
42.175,42.19,-1.0,-1.0,-1,DRIVING,2
42.48,15.83,13.4,32.28,RIGHT,OBSTACLE,3
45.092,66.71,-1.0,-1.0,-1,DRIVING,3
45.4,63.73,-1.0,-1.0,-1,DRIVING,3
45.707,57.32,-1.0,-1.0,-1,DRIVING,3
46.013,58.16,-1.0,-1.0,-1,DRIVING,3
46.319,50.3,-1.0,-1.0,-1,DRIVING,3
46.625,43.57,-1.0,-1.0,-1,DRIVING,3
46.931,36.07,-1.0,-1.0,-1,DRIVING,3
47.237,28.48,-1.0,-1.0,-1,DRIVING,3
47.541,20.67,-1.0,-1.0,-1,DRIVING,3
47.845,13.02,117.08,62.08,LEFT,OBSTACLE,4
