time,distF,distL,distR,status,obstacle_count
11.241,53.84,61.03,100.0,DRIVING,0
11.361,53.53,62.22,87.79,DRIVING,0
11.48,52.53,61.49,91.24,DRIVING,0
11.598,51.15,60.93,83.61,DRIVING,0
11.717,48.6,59.84,83.61,DRIVING,0
11.839,47.96,48.5,79.81,DRIVING,0
11.956,59.4,44.17,78.83,DRIVING,0
12.073,58.16,41.12,75.5,DRIVING,0
12.19,54.72,40.24,71.16,DRIVING,0
12.307,53.16,35.53,68.49,DRIVING,0
12.423,50.86,32.73,66.66,DRIVING,0
12.538,48.72,31.4,64.94,DRIVING,0
12.654,47.06,28.83,60.88,DRIVING,0
12.769,47.24,27.74,59.52,DRIVING,0
12.883,40.94,26.67,56.63,DRIVING,0
12.997,35.79,27.34,54.77,DRIVING,0
13.111,32.81,34.78,52.45,DRIVING,0
13.224,29.8,31.86,50.07,DRIVING,0
13.338,26.57,29.29,47.8,DRIVING,0
13.451,23.66,26.42,45.68,DRIVING,0
13.562,21.23,23.89,49.49,DRIVING,0
13.675,17.54,21.23,41.58,LEFT_OBSTACLE,1
14.486,40.82,41.0,77.23,DRIVING,1
14.603,41.06,38.59,74.68,DRIVING,1
14.718,39.7,37.35,43.54,DRIVING,1
14.832,37.86,36.6,74.44,DRIVING,1
14.948,36.24,35.38,42.87,DRIVING,1
15.06,34.0,33.92,43.59,DRIVING,1
15.174,32.15,31.52,47.09,DRIVING,1
15.288,29.89,28.93,65.47,DRIVING,1
15.401,27.83,26.47,50.25,DRIVING,1
15.514,26.35,24.36,50.13,DRIVING,1
15.627,23.97,22.03,52.97,DRIVING,1
15.739,23.97,19.46,54.72,DRIVING,1
15.858,23.97,16.39,52.09,DRIVING,1
15.976,23.97,13.43,49.59,ADJUST_RIGHT,1
16.293,45.82,11.54,46.14,ADJUST_RIGHT,1
16.607,42.96,47.04,95.56,DRIVING,1
16.724,40.82,43.71,95.35,DRIVING,1
16.841,55.69,39.02,35.14,DRIVING,1
16.956,54.06,37.71,37.3,DRIVING,1
17.07,51.99,34.39,36.75,DRIVING,1
17.184,49.74,32.08,37.25,DRIVING,1
17.298,47.48,29.99,39.85,DRIVING,1
17.412,44.44,27.68,42.99,DRIVING,1
17.524,42.13,26.42,73.85,DRIVING,1
17.64,39.34,27.54,77.04,DRIVING,1
17.755,36.02,37.96,74.14,DRIVING,1
17.87,33.81,33.93,72.64,DRIVING,1
17.985,30.62,31.98,69.87,DRIVING,1
18.1,28.31,28.78,67.08,DRIVING,1
18.213,25.62,26.11,62.68,DRIVING,1
18.327,23.26,23.75,63.9,DRIVING,1
18.441,20.59,20.98,61.59,DRIVING,1
18.553,17.92,18.55,60.06,LEFT_OBSTACLE,2
19.365,54.35,56.68,77.18,DRIVING,2
19.483,65.06,55.85,76.76,DRIVING,2
19.602,64.04,55.4,75.73,DRIVING,2
19.72,63.04,51.1,73.93,DRIVING,2
19.837,61.78,47.19,71.21,DRIVING,2
19.955,58.82,45.73,70.8,DRIVING,2
20.072,58.17,43.72,67.71,DRIVING,2
20.189,61.78,44.42,65.06,DRIVING,2
20.305,57.56,38.42,63.19,DRIVING,2
20.421,58.85,35.55,61.81,DRIVING,2
20.537,55.9,34.09,57.9,DRIVING,2
20.653,56.87,33.34,56.39,DRIVING,2
20.768,54.13,34.34,53.47,DRIVING,2
20.883,55.08,31.96,52.56,DRIVING,2
20.998,51.63,37.06,63.87,DRIVING,2
21.113,52.7,36.09,47.4,DRIVING,2
21.228,48.6,34.09,45.39,DRIVING,2
21.343,48.37,33.52,42.6,DRIVING,2
21.456,41.67,32.73,40.85,DRIVING,2
21.57,38.03,31.62,40.61,DRIVING,2
21.684,35.77,30.8,45.27,DRIVING,2
21.796,32.62,28.99,42.64,DRIVING,2
21.909,30.69,26.64,39.73,DRIVING,2
22.022,27.42,24.5,43.64,DRIVING,2
22.134,24.67,22.34,34.48,DRIVING,2
22.246,21.88,7.97,31.23,ADJUST_RIGHT,2
22.556,20.21,18.67,42.16,DRIVING,2
22.667,25.21,18.24,39.07,DRIVING,2
22.778,21.18,16.44,37.55,DRIVING,2
22.89,19.57,14.37,35.14,LEFT_OBSTACLE,3
23.701,22.59,30.24,90.46,DRIVING,3
23.816,57.7,23.44,90.05,DRIVING,3
23.932,55.66,32.45,85.36,DRIVING,3
24.049,86.89,18.11,86.36,DRIVING,3
24.167,84.44,16.03,83.28,DRIVING,3
24.285,82.02,15.28,82.02,DRIVING,3
24.402,79.46,36.89,79.19,DRIVING,3
24.52,75.55,35.9,76.45,DRIVING,3
24.638,73.9,40.38,74.95,DRIVING,3
24.756,69.68,38.17,71.21,DRIVING,3
24.873,67.06,37.25,69.62,DRIVING,3
24.99,63.51,37.32,65.86,DRIVING,3
25.107,62.49,41.85,66.22,DRIVING,3
25.224,58.57,61.12,60.95,DRIVING,3
25.34,54.96,56.27,61.4,DRIVING,3
25.457,51.99,53.09,54.94,DRIVING,3
25.574,48.48,50.41,52.85,DRIVING,3
25.69,45.49,47.74,72.62,DRIVING,3
25.805,42.36,45.53,48.04,DRIVING,3
25.92,39.29,42.35,70.57,DRIVING,3
26.036,36.48,40.14,67.06,DRIVING,3
26.151,32.98,37.35,38.49,DRIVING,3
26.264,29.97,35.24,40.97,DRIVING,3
26.378,27.05,32.22,45.36,DRIVING,3
26.49,24.02,30.5,76.93,DRIVING,3
26.604,20.93,27.17,50.2,DRIVING,3
26.717,18.22,25.25,60.21,LEFT_OBSTACLE,4
27.53,52.33,77.88,74.31,DRIVING,4
27.649,53.7,55.49,96.92,DRIVING,4
27.767,54.13,53.72,90.64,DRIVING,4
27.886,50.27,50.37,92.62,DRIVING,4
28.004,61.83,47.62,90.12,DRIVING,4
28.123,59.99,46.07,88.16,DRIVING,4
28.24,57.92,42.53,87.98,DRIVING,4
28.358,54.79,39.78,86.55,DRIVING,4
28.476,52.29,37.42,82.48,DRIVING,4
28.593,49.79,35.8,71.64,DRIVING,4
28.708,46.41,33.01,70.55,DRIVING,4
28.824,43.86,31.31,66.95,DRIVING,4
28.939,40.53,30.65,68.54,DRIVING,4
29.053,37.74,33.32,70.41,DRIVING,4
29.169,34.77,37.01,68.97,DRIVING,4
29.284,31.86,34.17,67.13,DRIVING,4
29.399,28.97,30.82,64.46,DRIVING,4
29.512,26.04,27.88,62.25,DRIVING,4
29.626,23.14,25.36,60.57,DRIVING,4
29.739,20.81,22.9,58.09,DRIVING,4
29.852,18.02,20.11,56.54,LEFT_OBSTACLE,5
30.664,49.01,54.13,74.46,DRIVING,5
30.781,49.44,52.72,76.6,DRIVING,5
30.899,48.01,52.16,76.02,DRIVING,5
31.015,57.87,46.14,72.52,DRIVING,5
31.132,56.25,48.01,71.33,DRIVING,5
31.25,53.87,41.24,69.97,DRIVING,5
31.366,51.26,38.88,72.47,DRIVING,5
31.482,50.92,36.81,66.54,DRIVING,5
31.598,52.75,44.29,65.38,DRIVING,5
31.714,50.44,30.36,62.08,DRIVING,5
31.83,49.91,29.09,59.76,DRIVING,5
31.944,47.31,27.23,66.16,DRIVING,5
32.059,43.91,33.88,58.5,DRIVING,5
32.174,44.49,26.88,54.84,DRIVING,5
32.288,43.78,31.52,55.66,DRIVING,5
32.402,40.95,30.01,50.24,DRIVING,5
32.517,38.05,28.59,48.06,DRIVING,5
32.629,36.48,26.93,46.92,DRIVING,5
32.743,33.29,26.13,46.8,DRIVING,5
32.856,31.33,26.03,46.8,DRIVING,5
32.968,31.48,23.6,43.25,DRIVING,5
33.081,28.24,22.08,45.44,DRIVING,5
33.193,24.38,21.23,39.2,DRIVING,5
33.305,21.71,19.41,34.51,DRIVING,5
33.416,19.45,15.54,26.08,LEFT_OBSTACLE,6
34.227,37.08,22.42,62.65,DRIVING,6
34.34,33.93,24.12,65.21,DRIVING,6
34.454,33.93,26.21,64.31,DRIVING,6
34.569,32.57,28.17,63.58,DRIVING,6
34.682,28.83,28.24,60.01,DRIVING,6
34.796,25.93,31.55,69.27,DRIVING,6
34.91,21.83,34.29,88.57,DRIVING,6
35.025,19.26,30.09,85.73,LEFT_OBSTACLE,7
35.84,83.13,83.13,68.31,DRIVING,7
35.96,82.69,82.21,68.87,DRIVING,7
36.081,82.08,81.16,62.42,DRIVING,7
36.201,81.45,79.34,60.89,DRIVING,7
36.321,81.43,76.99,58.8,DRIVING,7
36.441,79.71,75.07,57.56,DRIVING,7
36.559,78.59,73.05,54.81,DRIVING,7
36.678,78.83,71.01,52.97,DRIVING,7
36.797,76.93,69.38,50.85,DRIVING,7
36.915,76.09,67.05,48.67,DRIVING,7
37.033,78.47,65.33,45.85,DRIVING,7
37.151,72.0,63.02,43.98,DRIVING,7
37.268,70.21,60.91,41.57,DRIVING,7
37.385,65.23,59.02,38.66,DRIVING,7
37.501,64.41,56.71,36.4,DRIVING,7
37.617,62.87,55.34,34.14,DRIVING,7
37.733,60.44,54.04,31.52,DRIVING,7
37.849,56.02,50.61,29.5,DRIVING,7
37.963,31.74,47.38,26.96,DRIVING,7
38.076,29.19,44.2,24.46,DRIVING,7
38.189,27.06,42.53,22.07,DRIVING,7
38.3,47.84,40.09,19.58,DRIVING,7
38.414,47.84,38.47,17.34,DRIVING,7
38.532,20.11,35.84,14.52,ADJUST_LEFT,7
38.843,33.1,31.4,11.25,ADJUST_LEFT,7
39.154,27.23,40.07,11.25,ADJUST_LEFT,7
39.472,27.42,79.76,26.13,DRIVING,7
39.586,26.95,94.38,24.34,DRIVING,7
39.702,27.4,90.44,22.39,DRIVING,7
39.817,27.13,89.62,20.59,DRIVING,7
39.931,24.45,73.36,17.39,DRIVING,7
40.045,22.9,87.26,15.13,DRIVING,7
40.159,22.02,84.44,13.28,ADJUST_LEFT,7
40.473,91.46,79.87,15.13,DRIVING,7
40.591,89.15,77.06,13.72,ADJUST_LEFT,7
40.907,72.47,79.97,88.15,DRIVING,7
41.029,70.28,78.32,85.7,DRIVING,7
41.149,68.14,76.06,82.21,DRIVING,7
41.269,65.45,71.83,78.2,DRIVING,7
41.389,66.83,69.51,77.09,DRIVING,7
41.507,59.64,66.69,76.33,DRIVING,7
41.626,55.73,64.45,68.36,DRIVING,7
41.744,53.18,61.4,69.33,DRIVING,7
41.862,49.79,60.15,52.68,DRIVING,7
41.978,46.89,56.32,47.14,DRIVING,7
42.094,44.13,54.55,44.44,DRIVING,7
42.209,41.24,51.48,40.63,DRIVING,7
42.323,38.98,50.07,37.77,DRIVING,7
42.437,36.57,47.5,34.92,DRIVING,7
42.551,34.53,48.84,32.13,DRIVING,7
42.664,33.71,42.5,29.92,DRIVING,7
42.777,34.05,41.74,59.98,DRIVING,7
42.892,31.13,40.68,25.36,DRIVING,7
43.004,28.59,34.49,21.66,DRIVING,7
43.116,26.11,31.21,19.06,DRIVING,7
43.228,23.12,28.93,16.86,DRIVING,7
43.338,24.31,26.18,14.13,ADJUST_LEFT,7
43.649,30.16,62.05,17.03,DRIVING,7
43.762,24.19,27.93,18.11,DRIVING,7
43.873,21.83,58.84,18.28,DRIVING,7
43.985,23.36,56.9,14.65,ADJUST_LEFT,7
44.298,8.11,44.25,17.34,RIGHT_OBSTACLE,8
45.108,84.41,87.21,61.13,DRIVING,8
45.229,77.3,86.41,60.21,DRIVING,8
45.348,79.9,85.31,62.17,DRIVING,8
45.468,78.57,83.86,69.67,DRIVING,8
45.589,76.87,84.68,64.82,DRIVING,8
45.709,75.16,80.14,66.4,DRIVING,8
45.829,73.92,77.71,61.78,DRIVING,8
45.948,70.98,77.69,64.8,DRIVING,8
46.067,69.21,76.99,57.97,DRIVING,8
46.186,65.7,73.76,59.64,DRIVING,8
46.305,62.2,71.18,55.47,DRIVING,8
