time,distF,distL,distR,distSL,distSR,status,obstacle_count
31.02,76.91,73.42,96.65,28.42,32.98,DRIVING,0
31.15,76.48,75.04,92.09,28.78,32.57,DRIVING,0
31.28,75.31,72.16,92.4,28.34,33.81,DRIVING,0
31.41,70.33,69.82,84.86,27.98,34.24,DRIVING,0
31.539,66.11,67.41,83.76,27.42,38.51,DRIVING,0
31.667,63.75,65.74,78.69,26.81,67.78,DRIVING,0
31.797,58.45,29.68,70.74,26.38,55.56,DRIVING,0
31.923,55.85,28.05,67.95,25.38,56.92,DRIVING,0
32.049,51.44,25.94,55.66,24.26,56.63,DRIVING,0
32.174,47.72,24.53,64.57,23.1,58.63,DRIVING,0
32.299,44.03,22.41,61.22,21.68,58.17,DRIVING,0
32.422,40.05,20.74,56.64,20.09,75.6,DRIVING,0
32.547,35.9,18.07,53.69,18.79,77.91,DRIVING,0
32.671,32.23,16.46,50.88,17.05,79.17,DRIVING,0
32.795,29.5,13.48,45.71,15.98,80.46,LEFT_OBSTACLE,1
33.618,81.41,43.67,75.24,28.54,60.5,DRIVING,1
33.747,73.88,44.52,84.24,29.41,60.72,DRIVING,1
33.876,71.26,43.59,83.32,29.65,59.23,DRIVING,1
34.006,68.54,42.38,80.73,31.04,70.21,DRIVING,1
34.135,65.81,41.07,68.43,41.5,62.61,DRIVING,1
34.264,64.18,40.22,75.6,40.09,58.77,DRIVING,1
34.392,60.18,38.76,72.22,39.12,49.3,DRIVING,1
34.52,56.2,37.4,49.4,37.62,50.52,DRIVING,1
34.644,52.11,36.14,56.13,36.14,53.6,DRIVING,1
34.77,48.89,34.82,66.35,34.77,55.98,DRIVING,1
34.896,44.03,33.92,59.74,33.46,54.43,DRIVING,1
35.022,39.51,32.64,57.83,32.27,62.03,DRIVING,1
35.147,36.14,30.89,55.57,30.8,68.2,DRIVING,1
35.272,31.72,29.87,51.66,29.43,54.37,DRIVING,1
35.396,28.36,28.1,45.02,28.05,54.67,DRIVING,1
35.519,24.8,27.15,39.02,27.17,58.07,DRIVING,1
35.642,21.28,25.89,35.87,25.5,57.19,DRIVING,1
35.764,17.66,7.12,31.96,24.6,58.23,LEFT_OBSTACLE,2
36.584,44.68,28.17,53.38,17.0,78.61,DRIVING,2
36.709,53.23,29.6,51.2,17.36,91.36,DRIVING,2
36.835,53.4,38.74,49.42,17.6,75.65,DRIVING,2
36.961,55.3,32.5,47.57,28.41,75.84,DRIVING,2
37.087,53.01,33.15,48.04,27.59,77.81,DRIVING,2
37.214,55.42,35.33,70.48,27.12,81.11,DRIVING,2
37.341,50.32,33.92,42.11,27.95,77.67,DRIVING,2
37.467,47.82,33.66,37.59,28.83,75.91,DRIVING,2
37.593,44.73,36.07,34.37,29.72,76.21,DRIVING,2
37.718,45.08,31.74,31.04,30.74,82.89,DRIVING,2
37.842,37.6,30.28,28.59,29.12,77.98,DRIVING,2
37.966,34.53,30.48,25.16,28.14,69.38,DRIVING,2
38.089,31.21,26.96,22.44,27.29,86.11,DRIVING,2
38.213,27.47,24.02,32.66,25.79,87.94,DRIVING,2
38.337,24.14,23.41,28.08,25.69,88.4,DRIVING,2
38.46,19.92,18.12,26.35,23.6,20.3,RIGHT_OBSTACLE,3
39.278,13.94,27.05,12.46,40.26,20.08,RIGHT_OBSTACLE,4
40.097,33.81,70.21,23.49,61.74,18.22,DRIVING,4
40.221,33.59,73.61,23.51,63.39,18.65,DRIVING,4
40.346,35.9,73.61,23.56,61.0,19.13,DRIVING,4
40.473,33.52,73.61,22.13,63.75,19.53,DRIVING,4
40.599,35.65,73.61,24.58,57.83,23.75,DRIVING,4
40.726,30.67,73.61,22.61,58.85,49.83,DRIVING,4
40.854,29.36,73.61,20.3,59.86,19.01,DRIVING,4
40.98,26.28,97.04,20.47,58.62,18.58,DRIVING,4
41.105,23.19,98.55,19.3,57.19,19.48,DRIVING,4
41.23,20.11,98.55,17.68,55.78,18.41,DRIVING,4
41.354,17.02,94.84,16.13,85.97,15.62,RIGHT_OBSTACLE,5
42.18,84.29,87.28,16.13,49.47,16.03,DRIVING,5
42.317,82.96,86.7,16.13,47.99,16.05,DRIVING,5
42.454,81.26,86.0,16.13,50.42,16.4,DRIVING,5
42.59,78.52,83.84,16.13,50.83,18.29,DRIVING,5
42.726,77.4,80.82,16.13,69.63,35.34,DRIVING,5
42.864,73.83,77.66,79.19,46.31,35.07,DRIVING,5
