time,dist,distLeft,distRight,direction,status
14.83,57.82,-1,-1,-1,DRIVING
14.968,57.82,-1,-1,-1,DRIVING
15.104,57.82,-1,-1,-1,DRIVING
15.238,57.82,-1,-1,-1,DRIVING
15.373,54.32,-1,-1,-1,DRIVING
15.51,54.32,-1,-1,-1,DRIVING
15.645,54.32,-1,-1,-1,DRIVING
15.779,54.32,-1,-1,-1,DRIVING
15.915,48.40,-1,-1,-1,DRIVING
16.052,50.18,-1,-1,-1,DRIVING
16.189,43.40,-1,-1,-1,DRIVING
16.326,41.63,-1,-1,-1,DRIVING
16.463,36.52,-1,-1,-1,DRIVING
16.6,33.30,-1,-1,-1,DRIVING
16.737,33.42,-1,-1,-1,DRIVING
16.873,27.49,-1,-1,-1,DRIVING
17.009,26.96,-1,-1,-1,DRIVING
17.145,21.91,-1,-1,-1,DRIVING
17.282,18.04,24.85,9.47,LEFT,OBSTACLE
19.733,28.75,-1,-1,-1,DRIVING
19.869,28.75,-1,-1,-1,DRIVING
20.003,28.49,-1,-1,-1,DRIVING
20.141,28.49,-1,-1,-1,DRIVING
20.275,21.54,-1,-1,-1,DRIVING
20.411,18.16,92.34,17.80,LEFT,OBSTACLE
22.867,71.30,-1,-1,-1,DRIVING
23.007,35.85,-1,-1,-1,DRIVING
23.143,34.90,-1,-1,-1,DRIVING
23.28,33.12,-1,-1,-1,DRIVING
23.416,32.05,-1,-1,-1,DRIVING
23.553,60.49,-1,-1,-1,DRIVING
23.691,57.00,-1,-1,-1,DRIVING
23.829,53.98,-1,-1,-1,DRIVING
23.967,51.24,-1,-1,-1,DRIVING
24.104,28.02,-1,-1,-1,DRIVING
24.241,25.99,-1,-1,-1,DRIVING
24.377,23.95,-1,-1,-1,DRIVING
24.513,32.35,-1,-1,-1,DRIVING
24.649,35.45,-1,-1,-1,DRIVING
24.785,32.71,-1,-1,-1,DRIVING
24.923,29.50,-1,-1,-1,DRIVING
25.059,29.50,-1,-1,-1,DRIVING
25.193,29.07,-1,-1,-1,DRIVING
25.329,25.09,-1,-1,-1,DRIVING
25.465,22.49,-1,-1,-1,DRIVING
25.602,14.82,10.42,30.16,RIGHT,OBSTACLE
28.055,56.64,-1,-1,-1,DRIVING
28.193,57.09,-1,-1,-1,DRIVING
28.332,57.09,-1,-1,-1,DRIVING
28.466,51.71,-1,-1,-1,DRIVING
28.604,51.53,-1,-1,-1,DRIVING
28.741,65.20,-1,-1,-1,DRIVING
28.879,61.51,-1,-1,-1,DRIVING
29.018,58.77,-1,-1,-1,DRIVING
29.156,55.11,-1,-1,-1,DRIVING
29.294,55.11,-1,-1,-1,DRIVING
29.428,50.34,-1,-1,-1,DRIVING
29.566,46.24,-1,-1,-1,DRIVING
29.704,43.62,-1,-1,-1,DRIVING
29.841,41.09,-1,-1,-1,DRIVING
29.977,38.01,-1,-1,-1,DRIVING
30.114,34.78,-1,-1,-1,DRIVING
30.251,31.52,-1,-1,-1,DRIVING
30.388,28.49,-1,-1,-1,DRIVING
30.524,25.53,-1,-1,-1,DRIVING
30.66,22.59,-1,-1,-1,DRIVING
30.795,19.80,20.89,57.36,RIGHT,OBSTACLE
33.252,59.33,-1,-1,-1,DRIVING
33.39,55.18,-1,-1,-1,DRIVING
33.528,44.47,-1,-1,-1,DRIVING
33.666,41.38,-1,-1,-1,DRIVING
33.803,40.31,-1,-1,-1,DRIVING
33.939,58.94,-1,-1,-1,DRIVING
34.077,56.53,-1,-1,-1,DRIVING
34.215,52.60,-1,-1,-1,DRIVING
34.353,50.52,-1,-1,-1,DRIVING
34.491,50.41,-1,-1,-1,DRIVING
34.628,48.81,-1,-1,-1,DRIVING
34.765,46.97,-1,-1,-1,DRIVING
34.903,47.18,-1,-1,-1,DRIVING
35.041,38.71,-1,-1,-1,DRIVING
35.177,35.26,-1,-1,-1,DRIVING
35.314,29.32,-1,-1,-1,DRIVING
35.45,27.25,-1,-1,-1,DRIVING
35.587,32.47,-1,-1,-1,DRIVING
35.723,30.29,-1,-1,-1,DRIVING
35.859,22.85,-1,-1,-1,DRIVING
35.995,17.03,25.28,106.25,RIGHT,OBSTACLE
38.456,53.69,-1,-1,-1,DRIVING
38.593,29.14,-1,-1,-1,DRIVING
38.73,28.48,-1,-1,-1,DRIVING
38.866,30.16,-1,-1,-1,DRIVING
39.003,46.44,-1,-1,-1,DRIVING
39.14,44.06,-1,-1,-1,DRIVING
39.277,41.26,-1,-1,-1,DRIVING
39.414,38.11,-1,-1,-1,DRIVING
39.55,35.50,-1,-1,-1,DRIVING
39.688,32.30,-1,-1,-1,DRIVING
39.824,29.92,-1,-1,-1,DRIVING
39.96,27.13,-1,-1,-1,DRIVING
40.096,24.09,-1,-1,-1,DRIVING
40.232,23.39,-1,-1,-1,DRIVING
40.369,120.87,-1,-1,-1,DRIVING
40.511,43.78,-1,-1,-1,DRIVING
40.648,13.58,12.63,52.21,RIGHT,OBSTACLE
43.104,79.88,-1,-1,-1,DRIVING
43.243,57.85,-1,-1,-1,DRIVING
43.381,57.55,-1,-1,-1,DRIVING
43.52,56.22,-1,-1,-1,DRIVING
43.657,83.56,-1,-1,-1,DRIVING
43.796,63.41,-1,-1,-1,DRIVING
43.935,61.39,-1,-1,-1,DRIVING
44.073,43.10,-1,-1,-1,DRIVING
44.21,43.10,-1,-1,-1,DRIVING
44.345,52.43,-1,-1,-1,DRIVING
44.482,51.95,-1,-1,-1,DRIVING
44.62,47.14,-1,-1,-1,DRIVING
44.758,47.14,-1,-1,-1,DRIVING
44.892,47.14,-1,-1,-1,DRIVING
45.027,47.14,-1,-1,-1,DRIVING
45.161,47.14,-1,-1,-1,DRIVING
45.296,33.85,-1,-1,-1,DRIVING
45.432,26.66,-1,-1,-1,DRIVING
45.569,24.28,-1,-1,-1,DRIVING
45.705,5.98,5.34,32.59,RIGHT,OBSTACLE
48.156,41.72,-1,-1,-1,DRIVING
