time,dist,distLeft,distRight,direction,status
9.212,55.35,-1,-1,-1,DRIVING
9.269,56.66,-1,-1,-1,DRIVING
9.325,55.88,-1,-1,-1,DRIVING
9.382,63.36,-1,-1,-1,DRIVING
9.44,62.66,-1,-1,-1,DRIVING
9.497,62.31,-1,-1,-1,DRIVING
9.553,61.54,-1,-1,-1,DRIVING
9.611,61.15,-1,-1,-1,DRIVING
9.668,59.64,-1,-1,-1,DRIVING
9.725,58.09,-1,-1,-1,DRIVING
9.782,53.40,-1,-1,-1,DRIVING
9.839,51.99,-1,-1,-1,DRIVING
9.895,49.84,-1,-1,-1,DRIVING
9.952,48.76,-1,-1,-1,DRIVING
10.008,47.04,-1,-1,-1,DRIVING
10.065,46.14,-1,-1,-1,DRIVING
10.123,45.73,-1,-1,-1,DRIVING
10.18,48.14,-1,-1,-1,DRIVING
10.237,47.58,-1,-1,-1,DRIVING
10.295,46.27,-1,-1,-1,DRIVING
10.352,41.62,-1,-1,-1,DRIVING
10.408,38.59,-1,-1,-1,DRIVING
10.466,40.99,-1,-1,-1,DRIVING
10.523,43.13,-1,-1,-1,DRIVING
10.579,40.73,-1,-1,-1,DRIVING
10.637,40.92,-1,-1,-1,DRIVING
10.694,37.47,-1,-1,-1,DRIVING
10.75,38.66,-1,-1,-1,DRIVING
10.808,35.84,-1,-1,-1,DRIVING
10.864,35.84,-1,-1,-1,DRIVING
10.918,25.82,-1,-1,-1,DRIVING
10.975,24.89,-1,-1,-1,DRIVING
11.031,27.25,-1,-1,-1,DRIVING
11.087,22.80,-1,-1,-1,DRIVING
11.143,21.11,-1,-1,-1,DRIVING
11.199,22.08,-1,-1,-1,DRIVING
11.254,21.06,-1,-1,-1,DRIVING
11.311,18.94,62.48,22.19,LEFT,OBSTACLE
13.686,60.35,-1,-1,-1,DRIVING
13.745,61.34,-1,-1,-1,DRIVING
13.802,62.36,-1,-1,-1,DRIVING
13.86,64.26,-1,-1,-1,DRIVING
13.919,74.83,-1,-1,-1,DRIVING
13.978,72.98,-1,-1,-1,DRIVING
14.036,69.63,-1,-1,-1,DRIVING
14.096,69.17,-1,-1,-1,DRIVING
14.154,67.32,-1,-1,-1,DRIVING
14.213,64.92,-1,-1,-1,DRIVING
14.271,67.88,-1,-1,-1,DRIVING
14.329,62.87,-1,-1,-1,DRIVING
14.388,61.40,-1,-1,-1,DRIVING
14.446,60.95,-1,-1,-1,DRIVING
14.504,58.57,-1,-1,-1,DRIVING
14.563,60.11,-1,-1,-1,DRIVING
14.62,55.68,-1,-1,-1,DRIVING
14.679,57.29,-1,-1,-1,DRIVING
14.737,53.21,-1,-1,-1,DRIVING
14.794,57.48,-1,-1,-1,DRIVING
14.853,50.32,-1,-1,-1,DRIVING
14.91,53.33,-1,-1,-1,DRIVING
14.967,47.80,-1,-1,-1,DRIVING
15.025,50.58,-1,-1,-1,DRIVING
15.082,45.36,-1,-1,-1,DRIVING
15.139,43.89,-1,-1,-1,DRIVING
15.197,45.37,-1,-1,-1,DRIVING
15.254,40.51,-1,-1,-1,DRIVING
15.311,39.24,-1,-1,-1,DRIVING
15.368,41.17,-1,-1,-1,DRIVING
15.425,36.75,-1,-1,-1,DRIVING
15.481,35.65,-1,-1,-1,DRIVING
15.539,36.21,-1,-1,-1,DRIVING
15.595,33.18,-1,-1,-1,DRIVING
15.651,30.84,-1,-1,-1,DRIVING
15.708,30.04,-1,-1,-1,DRIVING
15.764,30.41,-1,-1,-1,DRIVING
15.82,29.26,-1,-1,-1,DRIVING
15.877,26.28,-1,-1,-1,DRIVING
15.933,24.31,-1,-1,-1,DRIVING
15.989,23.21,-1,-1,-1,DRIVING
16.045,21.90,-1,-1,-1,DRIVING
16.101,20.54,-1,-1,-1,DRIVING
16.156,19.23,72.16,29.56,LEFT,OBSTACLE
18.533,58.84,-1,-1,-1,DRIVING
18.591,58.92,-1,-1,-1,DRIVING
18.65,59.19,-1,-1,-1,DRIVING
18.708,57.24,-1,-1,-1,DRIVING
18.765,56.68,-1,-1,-1,DRIVING
18.824,56.08,-1,-1,-1,DRIVING
18.881,54.69,-1,-1,-1,DRIVING
18.939,53.50,-1,-1,-1,DRIVING
18.997,52.33,-1,-1,-1,DRIVING
19.054,50.69,-1,-1,-1,DRIVING
19.112,49.71,-1,-1,-1,DRIVING
19.17,48.35,-1,-1,-1,DRIVING
19.227,47.77,-1,-1,-1,DRIVING
19.284,46.61,-1,-1,-1,DRIVING
19.342,44.85,-1,-1,-1,DRIVING
19.399,43.57,-1,-1,-1,DRIVING
19.457,42.62,-1,-1,-1,DRIVING
19.513,40.21,-1,-1,-1,DRIVING
19.57,37.89,-1,-1,-1,DRIVING
19.627,36.53,-1,-1,-1,DRIVING
19.684,35.75,-1,-1,-1,DRIVING
19.74,38.78,-1,-1,-1,DRIVING
19.798,33.32,-1,-1,-1,DRIVING
19.854,31.72,-1,-1,-1,DRIVING
19.91,30.41,-1,-1,-1,DRIVING
19.966,28.99,-1,-1,-1,DRIVING
20.023,27.20,-1,-1,-1,DRIVING
20.079,26.61,-1,-1,-1,DRIVING
20.135,24.70,-1,-1,-1,DRIVING
20.191,23.49,-1,-1,-1,DRIVING
20.247,23.49,-1,-1,-1,DRIVING
20.301,21.08,-1,-1,-1,DRIVING
20.358,19.41,25.64,19.87,LEFT,OBSTACLE
22.731,60.50,-1,-1,-1,DRIVING
22.789,61.12,-1,-1,-1,DRIVING
22.847,60.69,-1,-1,-1,DRIVING
22.905,60.47,-1,-1,-1,DRIVING
22.964,59.99,-1,-1,-1,DRIVING
23.021,58.41,-1,-1,-1,DRIVING
23.079,57.87,-1,-1,-1,DRIVING
23.138,56.54,-1,-1,-1,DRIVING
23.195,56.19,-1,-1,-1,DRIVING
23.254,70.19,-1,-1,-1,DRIVING
23.312,69.02,-1,-1,-1,DRIVING
23.37,69.67,-1,-1,-1,DRIVING
23.43,68.37,-1,-1,-1,DRIVING
23.488,67.30,-1,-1,-1,DRIVING
23.546,65.70,-1,-1,-1,DRIVING
23.605,65.16,-1,-1,-1,DRIVING
23.663,62.65,-1,-1,-1,DRIVING
23.721,69.92,-1,-1,-1,DRIVING
23.781,61.83,-1,-1,-1,DRIVING
23.838,62.36,-1,-1,-1,DRIVING
23.897,77.86,-1,-1,-1,DRIVING
23.956,60.47,-1,-1,-1,DRIVING
24.014,58.97,-1,-1,-1,DRIVING
24.073,58.97,-1,-1,-1,DRIVING
24.13,71.62,-1,-1,-1,DRIVING
24.189,55.47,-1,-1,-1,DRIVING
24.247,53.81,-1,-1,-1,DRIVING
24.305,53.04,-1,-1,-1,DRIVING
24.363,65.76,-1,-1,-1,DRIVING
24.421,64.74,-1,-1,-1,DRIVING
24.479,63.68,-1,-1,-1,DRIVING
24.538,62.08,-1,-1,-1,DRIVING
24.596,60.15,-1,-1,-1,DRIVING
24.654,45.65,-1,-1,-1,DRIVING
24.712,43.57,-1,-1,-1,DRIVING
24.768,41.85,-1,-1,-1,DRIVING
24.825,40.56,-1,-1,-1,DRIVING
24.883,39.02,-1,-1,-1,DRIVING
24.939,37.69,-1,-1,-1,DRIVING
24.996,36.45,-1,-1,-1,DRIVING
25.053,35.16,-1,-1,-1,DRIVING
25.109,34.20,-1,-1,-1,DRIVING
25.166,32.96,-1,-1,-1,DRIVING
25.223,31.48,-1,-1,-1,DRIVING
25.279,29.92,-1,-1,-1,DRIVING
25.335,28.63,-1,-1,-1,DRIVING
25.392,27.27,-1,-1,-1,DRIVING
25.448,26.11,-1,-1,-1,DRIVING
25.504,24.80,-1,-1,-1,DRIVING
25.56,23.39,-1,-1,-1,DRIVING
25.616,22.19,-1,-1,-1,DRIVING
25.671,20.54,-1,-1,-1,DRIVING
25.728,19.06,62.31,28.32,LEFT,OBSTACLE
28.103,53.57,-1,-1,-1,DRIVING
28.162,51.78,-1,-1,-1,DRIVING
28.219,52.80,-1,-1,-1,DRIVING
28.276,54.54,-1,-1,-1,DRIVING
28.335,51.46,-1,-1,-1,DRIVING
28.392,50.44,-1,-1,-1,DRIVING
28.449,49.06,-1,-1,-1,DRIVING
28.507,47.57,-1,-1,-1,DRIVING
28.564,45.88,-1,-1,-1,DRIVING
28.621,44.49,-1,-1,-1,DRIVING
28.679,43.44,-1,-1,-1,DRIVING
28.736,42.08,-1,-1,-1,DRIVING
28.793,40.97,-1,-1,-1,DRIVING
28.85,39.58,-1,-1,-1,DRIVING
28.907,38.18,-1,-1,-1,DRIVING
28.963,36.75,-1,-1,-1,DRIVING
29.021,35.22,-1,-1,-1,DRIVING
29.077,34.44,-1,-1,-1,DRIVING
29.133,33.56,-1,-1,-1,DRIVING
29.191,32.90,-1,-1,-1,DRIVING
29.247,30.70,-1,-1,-1,DRIVING
29.303,28.87,-1,-1,-1,DRIVING
29.36,27.49,-1,-1,-1,DRIVING
29.416,26.16,-1,-1,-1,DRIVING
29.471,25.23,-1,-1,-1,DRIVING
29.528,23.24,-1,-1,-1,DRIVING
29.584,22.19,-1,-1,-1,DRIVING
29.639,21.37,-1,-1,-1,DRIVING
29.696,20.54,-1,-1,-1,DRIVING
29.751,22.68,-1,-1,-1,DRIVING
29.807,22.61,-1,-1,-1,DRIVING
29.863,21.25,-1,-1,-1,DRIVING
29.919,19.94,72.15,11.97,LEFT,OBSTACLE
32.294,66.81,-1,-1,-1,DRIVING
32.353,70.28,-1,-1,-1,DRIVING
32.412,69.43,-1,-1,-1,DRIVING
32.471,69.43,-1,-1,-1,DRIVING
32.529,69.97,-1,-1,-1,DRIVING
32.588,68.95,-1,-1,-1,DRIVING
32.647,67.44,-1,-1,-1,DRIVING
32.705,66.98,-1,-1,-1,DRIVING
32.763,66.83,-1,-1,-1,DRIVING
32.822,65.40,-1,-1,-1,DRIVING
32.88,65.20,-1,-1,-1,DRIVING
32.939,65.74,-1,-1,-1,DRIVING
32.997,74.72,-1,-1,-1,DRIVING
33.056,70.98,-1,-1,-1,DRIVING
33.115,63.29,-1,-1,-1,DRIVING
33.173,63.68,-1,-1,-1,DRIVING
33.231,60.84,-1,-1,-1,DRIVING
33.29,61.66,-1,-1,-1,DRIVING
33.348,58.80,-1,-1,-1,DRIVING
33.406,61.97,-1,-1,-1,DRIVING
33.465,59.74,-1,-1,-1,DRIVING
33.522,57.49,-1,-1,-1,DRIVING
33.581,56.05,-1,-1,-1,DRIVING
33.638,53.74,-1,-1,-1,DRIVING
33.696,52.41,-1,-1,-1,DRIVING
33.754,53.74,-1,-1,-1,DRIVING
33.812,50.66,-1,-1,-1,DRIVING
33.869,48.76,-1,-1,-1,DRIVING
33.927,46.50,-1,-1,-1,DRIVING
33.984,44.73,-1,-1,-1,DRIVING
34.041,43.78,-1,-1,-1,DRIVING
34.099,41.33,-1,-1,-1,DRIVING
34.155,40.27,-1,-1,-1,DRIVING
34.212,39.07,-1,-1,-1,DRIVING
34.269,38.18,-1,-1,-1,DRIVING
34.326,40.27,-1,-1,-1,DRIVING
34.382,35.34,-1,-1,-1,DRIVING
34.44,33.71,-1,-1,-1,DRIVING
34.496,32.71,-1,-1,-1,DRIVING
34.552,31.71,-1,-1,-1,DRIVING
34.609,30.18,-1,-1,-1,DRIVING
34.665,28.25,-1,-1,-1,DRIVING
34.721,26.78,-1,-1,-1,DRIVING
34.778,25.47,-1,-1,-1,DRIVING
34.834,24.16,-1,-1,-1,DRIVING
34.89,22.63,-1,-1,-1,DRIVING
34.946,23.39,-1,-1,-1,DRIVING
35.002,20.65,-1,-1,-1,DRIVING
35.057,18.36,22.07,28.37,RIGHT,OBSTACLE
37.432,29.87,-1,-1,-1,DRIVING
37.488,36.69,-1,-1,-1,DRIVING
37.545,33.61,-1,-1,-1,DRIVING
37.602,36.18,-1,-1,-1,DRIVING
37.658,35.70,-1,-1,-1,DRIVING
37.715,35.09,-1,-1,-1,DRIVING
37.772,35.14,-1,-1,-1,DRIVING
37.828,37.71,-1,-1,-1,DRIVING
37.885,36.65,-1,-1,-1,DRIVING
37.942,35.68,-1,-1,-1,DRIVING
37.998,35.87,-1,-1,-1,DRIVING
38.055,35.87,-1,-1,-1,DRIVING
38.11,32.98,-1,-1,-1,DRIVING
38.166,33.85,-1,-1,-1,DRIVING
38.223,32.78,-1,-1,-1,DRIVING
38.28,31.30,-1,-1,-1,DRIVING
38.336,29.80,-1,-1,-1,DRIVING
38.392,28.65,-1,-1,-1,DRIVING
