time,dist,distLeft,distRight,direction,status
12.353,58.07,-1,-1,-1,DRIVING
12.491,59.74,-1,-1,-1,DRIVING
12.63,58.31,-1,-1,-1,DRIVING
12.768,56.05,-1,-1,-1,DRIVING
12.906,55.10,-1,-1,-1,DRIVING
13.043,0.94,49.88,15.30,LEFT,OBSTACLE
15.496,63.72,-1,-1,-1,DRIVING
15.634,58.12,-1,-1,-1,DRIVING
15.772,57.19,-1,-1,-1,DRIVING
15.91,54.21,-1,-1,-1,DRIVING
16.048,51.83,-1,-1,-1,DRIVING
16.186,52.72,-1,-1,-1,DRIVING
16.323,59.40,-1,-1,-1,DRIVING
16.461,44.12,-1,-1,-1,DRIVING
16.599,38.93,-1,-1,-1,DRIVING
16.736,36.04,-1,-1,-1,DRIVING
16.872,33.25,-1,-1,-1,DRIVING
17.008,29.78,-1,-1,-1,DRIVING
17.145,41.02,-1,-1,-1,DRIVING
17.282,36.09,-1,-1,-1,DRIVING
17.419,33.37,-1,-1,-1,DRIVING
17.555,17.85,19.46,31.50,RIGHT,OBSTACLE
20.009,67.51,-1,-1,-1,DRIVING
20.149,0.94,36.35,68.29,RIGHT,OBSTACLE
22.604,54.74,-1,-1,-1,DRIVING
22.742,52.50,-1,-1,-1,DRIVING
22.88,53.98,-1,-1,-1,DRIVING
23.017,50.88,-1,-1,-1,DRIVING
23.155,50.01,-1,-1,-1,DRIVING
23.292,47.38,-1,-1,-1,DRIVING
23.43,54.79,-1,-1,-1,DRIVING
23.568,45.71,-1,-1,-1,DRIVING
23.705,39.37,-1,-1,-1,DRIVING
23.842,39.25,-1,-1,-1,DRIVING
23.979,36.64,-1,-1,-1,DRIVING
24.116,35.90,-1,-1,-1,DRIVING
24.252,4.68,34.00,3.18,LEFT,OBSTACLE
26.702,32.83,-1,-1,-1,DRIVING
26.839,42.64,-1,-1,-1,DRIVING
26.976,40.07,-1,-1,-1,DRIVING
27.113,37.35,-1,-1,-1,DRIVING
27.249,34.37,-1,-1,-1,DRIVING
27.386,30.70,-1,-1,-1,DRIVING
27.523,19.69,65.96,18.45,LEFT,OBSTACLE
29.978,81.26,-1,-1,-1,DRIVING
30.117,0.94,51.85,56.81,RIGHT,OBSTACLE
32.574,22.54,-1,-1,-1,DRIVING
32.709,0.85,37.76,19.46,LEFT,OBSTACLE
35.162,72.32,-1,-1,-1,DRIVING
35.3,70.96,-1,-1,-1,DRIVING
35.439,69.85,-1,-1,-1,DRIVING
35.577,67.88,-1,-1,-1,DRIVING
35.717,67.29,-1,-1,-1,DRIVING
35.855,64.60,-1,-1,-1,DRIVING
35.993,61.88,-1,-1,-1,DRIVING
36.131,60.55,-1,-1,-1,DRIVING
36.27,64.21,-1,-1,-1,DRIVING
36.408,54.47,-1,-1,-1,DRIVING
36.546,52.45,-1,-1,-1,DRIVING
36.683,49.59,-1,-1,-1,DRIVING
36.82,64.60,-1,-1,-1,DRIVING
36.96,49.33,-1,-1,-1,DRIVING
37.097,57.51,-1,-1,-1,DRIVING
37.235,42.81,-1,-1,-1,DRIVING
37.372,41.43,-1,-1,-1,DRIVING
37.509,34.63,-1,-1,-1,DRIVING
37.646,31.99,-1,-1,-1,DRIVING
37.782,0.94,27.83,27.15,LEFT,OBSTACLE
40.233,53.11,-1,-1,-1,DRIVING
40.372,53.43,-1,-1,-1,DRIVING
40.509,51.90,-1,-1,-1,DRIVING
40.647,47.62,-1,-1,-1,DRIVING
40.784,44.17,-1,-1,-1,DRIVING
40.922,41.38,-1,-1,-1,DRIVING
41.059,38.11,-1,-1,-1,DRIVING
41.195,34.71,-1,-1,-1,DRIVING
41.332,31.47,-1,-1,-1,DRIVING
41.468,28.66,-1,-1,-1,DRIVING
41.605,26.83,-1,-1,-1,DRIVING
41.741,23.99,-1,-1,-1,DRIVING
41.877,19.94,87.24,20.23,LEFT,OBSTACLE
44.334,65.79,-1,-1,-1,DRIVING
44.473,67.63,-1,-1,-1,DRIVING
44.611,72.54,-1,-1,-1,DRIVING
44.749,68.65,-1,-1,-1,DRIVING
44.889,64.09,-1,-1,-1,DRIVING
45.027,55.57,-1,-1,-1,DRIVING
45.165,54.09,-1,-1,-1,DRIVING
45.302,50.35,-1,-1,-1,DRIVING
45.44,51.00,-1,-1,-1,DRIVING
45.578,48.09,-1,-1,-1,DRIVING
45.715,43.95,-1,-1,-1,DRIVING
45.852,40.15,-1,-1,-1,DRIVING
45.989,33.95,-1,-1,-1,DRIVING
46.126,30.63,-1,-1,-1,DRIVING
46.262,27.17,-1,-1,-1,DRIVING
46.398,23.99,-1,-1,-1,DRIVING
46.534,37.64,-1,-1,-1,DRIVING
46.671,22.37,-1,-1,-1,DRIVING
46.807,18.99,41.14,18.92,LEFT,OBSTACLE
49.261,41.11,-1,-1,-1,DRIVING
49.398,0.94,74.10,33.35,LEFT,OBSTACLE
51.853,60.33,-1,-1,-1,DRIVING
51.991,39.03,-1,-1,-1,DRIVING
52.128,37.26,-1,-1,-1,DRIVING
52.264,35.26,-1,-1,-1,DRIVING
52.402,32.88,-1,-1,-1,DRIVING
52.538,52.43,-1,-1,-1,DRIVING
52.676,31.30,-1,-1,-1,DRIVING
52.812,47.74,-1,-1,-1,DRIVING
52.95,21.83,-1,-1,-1,DRIVING
